Name,Description,Tags,URL,Created
Untitled map game,"A mobile app that shows a city map, but everything on the map is hidden. As the user walks around the city in real life, bits and pieces are revealed on the digital map.","Activity, App, Environment, Exercise, Exploration, Game, Goalless, IRL, Indie Dev, Map, Movement, Navigation, Online, Urban, Walking",,"July 19, 2023 2:56 PM"
Street Photography,A form of photography that captures candid and ephemeral moments of everyday life in public spaces.,"Art, Creativity, Discipline, Environment, IRL, Movement, Observation, People, Public, Quick Capture, Serendipity, Spontaneity, Urban, Visual Media, Walking",,"July 18, 2023 8:49 PM"
Soundwalks,"The act of walking while intentionally listening to the sounds of the environment, with the aim of finding new perspectives on familiar places and becoming more aware of one's surroundings, popularized by Robert M. Schaefer.","Activity, Awareness, Environment, Ephemeral, Exploration, Goalless, Movement, Nature, Observation, Perspective, Slow, Sound, Urban, Walking",,"July 18, 2023 8:43 PM"
Small World,"A simple web app that shows the user a map of their Twitter friends’ locations and notifies them when someone's in town, allowing them to stay in touch and meet online friends IRL.","Friends, Indie Dev, Map, Network, Online, People, Social Media",https://twitter.com/devonzuegel/status/1534595292485623808?s=12&t=CC1xZh25f56bEpfiLMXgaQ,"July 18, 2023 5:45 PM"
Promotional posters,"Paper posters placed in public places like streetlights and walls, allowing passers-by to find out about concerts, events, brands and other public announcements.","Flat, IRL, Non-interactive, Promotion, Public, Serendipity, Urban, Visual Media, Walking",,"July 18, 2023 3:30 PM"
Excalidraw,"A web-based drawing tool that allows users to easily create diagrams, sketches and illustrations in a virtual whiteboard, enabling them to discover new ways to visualize their ideas.","App, Creativity, Diagrams, Flat, Interaction Metaphor, Large-Scale Product, Online, Sketching, Visual Media",https://excalidraw.com,"July 18, 2023 2:55 PM"
Behance,An online platform allowing visual media creatives to showcase their work and connect with like-minded individuals.,"Aesthetics, Art, Curation, Design, Large-Scale Product, Network, Online, Showcase, Social Media, Visual Media",behance.com,"July 18, 2023 2:48 PM"
Tumblr,"A social media platform that emphasizes visual media, curiosity and community, allowing users to explore and share their interests in art, music, fashion and music.","Aesthetics, Art, Curation, Exploration, Fashion, Large-Scale Product, Music, Network, Online, Sharing, Social Media, Visual Media",tumblr.com,"July 18, 2023 2:44 PM"
Random walks in the city,"The act of walking around the city without a specific destination, taking in the environment, with the goal of clearing one’s mind, reflecting and running into the unexpected","Activity, Calm, Exploration, Goalless, IRL, Movement, Navigation, Observation, Reflection, Serendipity, Urban, Walking",,"July 18, 2023 2:39 PM"
Night drives,"The act of driving at night, often alone and without a specific destination, with the darkness, speed and music (or silence) inducing a calm and reflective state of mind.","Activity, Calm, Darkness, Exploration, Fast, Goalless, IRL, Movement, Music, Navigation, Reflection, Silence",,"July 18, 2023 2:31 PM"
